                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2316,                 1.7552,                 1.5881,                 2.2243,                 2.1943,                 1.3727,                0.23128,                0.56546,                0.33599,                0.11195,                 2.2157,                 1.9944,                 1.7784,                 2.0836,                 2.7475,                 1.6148,              0.0011224,              0.0011224,              0.0011224
                     36,                 2.2083,                 1.7328,                 1.5329,                 2.2675,                 2.1545,                 1.3536,                0.26694,                0.42956,                0.32184,                0.11668,                 2.1427,                 2.0102,                 1.7696,                 2.0108,                 2.5191,                 1.6205,              0.0011059,              0.0011059,              0.0011059
                     37,                 2.1729,                 1.8085,                 1.5746,                 2.1921,                 2.2554,                 1.3839,                0.28613,                0.51882,                 0.3213,                0.10915,                 2.2345,                 1.9663,                   1.79,                  2.068,                 2.5723,                  1.602,              0.0010894,              0.0010894,              0.0010894
                     38,                 2.1875,                 1.7037,                 1.5487,                   2.25,                 2.1095,                 1.3584,                0.16311,                0.43156,                0.19841,                0.08149,                 2.3201,                 2.2702,                 1.8651,                 2.2181,                 3.3358,                  1.663,              0.0010729,              0.0010729,              0.0010729
                     39,                 2.1806,                 1.6988,                 1.5351,                  2.202,                 2.1551,                 1.3516,                0.19388,                0.58956,                0.26332,                0.10073,                 2.1251,                 2.1756,                 1.7515,                 2.0329,                 3.3478,                 1.5836,              0.0010564,              0.0010564,              0.0010564
                     40,                 2.1714,                 1.7003,                 1.5641,                 2.2018,                 2.1594,                 1.3602,                0.28701,                 0.5232,                0.33411,                0.13487,                 2.0807,                 1.9207,                 1.7067,                 1.9526,                 2.7088,                 1.5982,              0.0010399,              0.0010399,              0.0010399
                     41,                 2.1543,                 1.7179,                 1.5449,                 2.2108,                 2.1401,                  1.371,                 0.2921,                0.60414,                0.36293,                0.13733,                 2.2007,                 1.9096,                  1.737,                 2.0422,                 2.7016,                 1.5723,              0.0010234,              0.0010234,              0.0010234
                     42,                 2.1347,                 1.6452,                 1.4991,                 2.1625,                 2.0756,                 1.3232,                0.23526,                 0.5952,                0.31641,                0.11683,                   2.17,                 2.0397,                 1.7448,                 2.0337,                  2.913,                 1.6017,              0.0010069,              0.0010069,              0.0010069
                     43,                 2.0845,                 1.6931,                  1.531,                 2.1249,                 2.0902,                 1.3455,                0.27667,                0.57878,                0.37003,                 0.1327,                 2.0721,                 1.8791,                 1.6899,                 2.0002,                 2.6684,                 1.6071,             0.00099036,             0.00099036,             0.00099036
                     44,                 2.1591,                 1.6348,                 1.5101,                  2.194,                 2.0723,                 1.3293,                0.22118,                0.52825,                0.24531,                0.09071,                 2.2431,                 2.2202,                 1.7819,                 2.1768,                 3.2893,                 1.6592,             0.00097386,             0.00097386,             0.00097386
                     45,                 2.1519,                 1.6684,                 1.4962,                 2.1977,                 2.0496,                 1.3167,                0.28218,                0.54763,                0.31891,                0.10589,                 2.2145,                 2.0669,                 1.7756,                 2.1064,                 3.0461,                 1.6228,             0.00095736,             0.00095736,             0.00095736
                     46,                 2.0899,                 1.6774,                 1.4674,                 2.1105,                 2.0513,                 1.2862,                0.27835,                0.59496,                0.35451,                0.12608,                 2.1342,                 1.9245,                 1.7247,                 2.0444,                 2.7387,                 1.5971,             0.00094085,             0.00094085,             0.00094085
                     47,                 2.1091,                 1.6234,                 1.4838,                 2.1598,                 2.0229,                 1.3135,                0.27656,                0.55045,                0.34993,                  0.137,                 2.1023,                 1.8817,                 1.6804,                 2.0282,                 2.5652,                 1.5758,             0.00092435,             0.00092435,             0.00092435
                     48,                 2.0525,                  1.632,                 1.4796,                  2.136,                 2.0394,                 1.3254,                0.37264,                0.53366,                0.40428,                0.15496,                  2.104,                  1.753,                  1.674,                 1.9851,                 2.3274,                   1.55,             0.00090785,             0.00090785,             0.00090785
                     49,                 2.2201,                 1.6695,                  1.502,                 2.2447,                  2.048,                 1.3116,                0.28809,                 0.6244,                0.36651,                0.13655,                 2.1201,                 1.7945,                 1.6789,                 1.9585,                 2.5241,                 1.5628,             0.00089134,             0.00089134,             0.00089134
                     50,                  2.135,                 1.6395,                 1.4686,                 2.1894,                 2.0161,                 1.2803,                0.26666,                0.56918,                0.31519,                0.11914,                 2.1018,                 1.8941,                 1.7013,                 2.0234,                 2.6587,                 1.6003,             0.00087484,             0.00087484,             0.00087484
